       sample #	   MLII
            764	    951
            765	    947
            766	    947
            767	    948
            768	    950
            769	    949
            770	    949
            771	    947
            772	    945
            773	    946
            774	    947
            775	    945
            776	    945
            777	    943
            778	    942
            779	    942
            780	    943
            781	    944
            782	    944
            783	    942
            784	    942
            785	    942
            786	    943
            787	    943
            788	    943
            789	    944
            790	    944
            791	    944
            792	    947
            793	    947
            794	    948
            795	    943
            796	    943
            797	    945
            798	    945
            799	    947
            800	    951
            801	    950
            802	    954
            803	    957
            804	    958
            805	    960
            806	    961
            807	    958
            808	    957
            809	    960
            810	    962
            811	    966
            812	    966
            813	    963
            814	    961
            815	    964
            816	    968
            817	    966
            818	    966
            819	    964
            820	    960
            821	    959
            822	    955
            823	    955
            824	    956
            825	    954
            826	    955
            827	    956
            828	    960
            829	    959
            830	    956
            831	    951
            832	    947
            833	    946
            834	    948
            835	    947
            836	    945
            837	    941
            838	    938
            839	    938
            840	    935
            841	    935
            842	    933
            843	    933
            844	    933
            845	    935
            846	    937
            847	    937
            848	    934
            849	    931
            850	    930
            851	    932
            852	    934
            853	    935
            854	    936
            855	    935
            856	    933
            857	    933
            858	    934
            859	    935
            860	    934
            861	    933
            862	    929
            863	    921
            864	    910
            865	    904
            866	    907
            867	    917
            868	    930
            869	    952
            870	    990
            871	   1058
            872	   1131
            873	   1204
            874	   1267
            875	   1325
            876	   1361
            877	   1364
            878	   1325
            879	   1236
            880	   1122
            881	   1019
            882	    951
            883	    919
            884	    909
            885	    910
            886	    928
            887	    948
            888	    957
            889	    955
            890	    945
            891	    942
            892	    938
            893	    941
            894	    940
            895	    939
            896	    936
            897	    930
            898	    929
            899	    928
            900	    929
            901	    929
            902	    928
            903	    927
            904	    925
            905	    927
            906	    927
            907	    926
            908	    928
            909	    926
            910	    927
            911	    928
            912	    930
            913	    929
            914	    927
            915	    926
            916	    926
            917	    926
            918	    929
            919	    928
            920	    930
            921	    928
            922	    926
            923	    927
            924	    933
            925	    934
            926	    934
            927	    933
            928	    929
            929	    935
            930	    937
            931	    939
            932	    939
            933	    937
            934	    938
            935	    942
            936	    944
            937	    948
            938	    949
            939	    951
            940	    953
            941	    957
            942	    961
            943	    965
            944	    966
            945	    970
            946	    972
            947	    976
            948	    981
            949	    983
            950	    988
            951	    990
            952	    992
            953	    998
            954	   1003
            955	   1006
            956	   1010
            957	   1012
            958	   1013
            959	   1015
            960	   1019
            961	   1025
            962	   1026
            963	   1026
            964	   1027
            965	   1031
            966	   1032
            967	   1035
            968	   1036
            969	   1031
            970	   1030
            971	   1033
            972	   1031
            973	   1032
            974	   1030
            975	   1025
            976	   1022
            977	   1018
            978	   1016
            979	   1013
            980	   1005
            981	   1003
            982	    997
            983	    993
            984	    990
            985	    989
            986	    984
            987	    979
            988	    972
            989	    971
            990	    970
            991	    971
            992	    967
            993	    964
            994	    962
            995	    961
            996	    963
            997	    964
            998	    961
            999	    957
           1000	    955
           1001	    959
           1002	    958
           1003	    959
           1004	    958
           1005	    955
           1006	    957
           1007	    957
           1008	    958
           1009	    957
           1010	    957
           1011	    954
           1012	    956
           1013	    957
           1014	    958
           1015	    957
           1016	    959
           1017	    958
           1018	    960
           1019	    960
           1020	    961
           1021	    960
           1022	    961
           1023	    962
           1024	    963
           1025	    964
           1026	    965
           1027	    963
           1028	    962
           1029	    965
           1030	    965
           1031	    964
           1032	    966
           1033	    967
           1034	    967
           1035	    965
           1036	    966
           1037	    967
           1038	    968
           1039	    968
           1040	    967
           1041	    965
           1042	    967
           1043	    967
           1044	    966
           1045	    968
           1046	    967
           1047	    966
           1048	    965
           1049	    969
           1050	    967
           1051	    965
           1052	    965
           1053	    964
           1054	    964
           1055	    965
           1056	    965
           1057	    963
           1058	    960
           1059	    960
           1060	    960
           1061	    962
           1062	    962
           1063	    960
           1064	    959
           1065	    956
           1066	    958
           1067	    958
           1068	    957
           1069	    955
           1070	    954
           1071	    953
           1072	    953
           1073	    955
           1074	    955
           1075	    954
           1076	    953
           1077	    949
           1078	    951
           1079	    952
           1080	    953
           1081	    952
           1082	    951
           1083	    949
           1084	    950
           1085	    952
           1086	    952
           1087	    950
           1088	    949
           1089	    948
           1090	    948
           1091	    950
           1092	    951
           1093	    951
           1094	    949
           1095	    948
           1096	    948
           1097	    950
           1098	    953
           1099	    953
           1100	    949
           1101	    948
           1102	    950
           1103	    950
           1104	    953
           1105	    953
           1106	    956
           1107	    955
           1108	    958
           1109	    964
           1110	    965
           1111	    966
           1112	    964
           1113	    964
           1114	    966
           1115	    967
           1116	    970
           1117	    973
           1118	    972
           1119	    970
           1120	    969
           1121	    974
           1122	    977
           1123	    977
           1124	    974
           1125	    971
           1126	    968
           1127	    968
           1128	    966
           1129	    962
           1130	    961
           1131	    961
           1132	    964
           1133	    967
           1134	    968
           1135	    963
           1136	    961
           1137	    956
           1138	    954
           1139	    955
           1140	    953
           1141	    948
           1142	    945
           1143	    944
           1144	    947
           1145	    945
           1146	    944
           1147	    943
           1148	    940
           1149	    937
           1150	    941
           1151	    940
           1152	    939
           1153	    939
           1154	    938
           1155	    938
           1156	    938
           1157	    938
           1158	    941
           1159	    939
           1160	    937
           1161	    937
           1162	    939
           1163	    940
           1164	    939
           1165	    940
           1166	    937
           1167	    931
           1168	    923
           1169	    913
           1170	    907
           1171	    913
           1172	    925
           1173	    942
           1174	    978
           1175	   1039
           1176	   1121
           1177	   1204
           1178	   1278
           1179	   1337
           1180	   1378
           1181	   1388
           1182	   1355
           1183	   1273
           1184	   1156
           1185	   1041
           1186	    957
           1187	    916
           1188	    912
           1189	    921
           1190	    939
           1191	    954
           1192	    959
           1193	    958
           1194	    951
           1195	    946
           1196	    944
           1197	    945
           1198	    942
           1199	    940
           1200	    937
           1201	    936
           1202	    934
           1203	    933
           1204	    932
           1205	    933
           1206	    934
           1207	    932
           1208	    928
           1209	    928
           1210	    931
           1211	    931
           1212	    932
           1213	    931
           1214	    931
           1215	    930
           1216	    931
           1217	    930
           1218	    930
           1219	    930
           1220	    930
           1221	    928
           1222	    930
           1223	    934
           1224	    934
           1225	    933
           1226	    933
           1227	    933
           1228	    932
           1229	    935
           1230	    938
           1231	    937
           1232	    939
           1233	    938
           1234	    939
           1235	    943
           1236	    944
           1237	    947
           1238	    947
           1239	    949
           1240	    949
           1241	    951
           1242	    956
           1243	    957
           1244	    959
           1245	    961
           1246	    966
           1247	    971
           1248	    975
           1249	    980
           1250	    981
           1251	    982
           1252	    987
           1253	    993
           1254	    998
           1255	   1002
           1256	   1006
           1257	   1006
           1258	   1012
           1259	   1019
           1260	   1022
           1261	   1023
           1262	   1027
           1263	   1026
           1264	   1033
           1265	   1039
           1266	   1040
           1267	   1044
           1268	   1041
           1269	   1043
           1270	   1046
           1271	   1049
           1272	   1048
           1273	   1051
           1274	   1048
           1275	   1043
           1276	   1043
           1277	   1045
           1278	   1044
           1279	   1041
           1280	   1035
           1281	   1027
           1282	   1026
           1283	   1023
           1284	   1020
           1285	   1013
           1286	   1009
           1287	   1001
           1288	    999
           1289	    996
           1290	    993
           1291	    988
           1292	    982
           1293	    977
           1294	    977
           1295	    974
           1296	    974
           1297	    970
           1298	    968
           1299	    966
           1300	    961
           1301	    964
           1302	    963
           1303	    963
           1304	    961
           1305	    958
           1306	    958
           1307	    960
           1308	    959
           1309	    961
           1310	    957
           1311	    955
           1312	    958
           1313	    960
           1314	    961
           1315	    959
           1316	    958
           1317	    956
           1318	    960
           1319	    961
           1320	    963
           1321	    962
           1322	    961
           1323	    960
           1324	    964
           1325	    965
           1326	    966
           1327	    964
           1328	    962
           1329	    962
           1330	    964
           1331	    966
           1332	    966
           1333	    967
           1334	    966
           1335	    965
           1336	    967
           1337	    970
           1338	    969
           1339	    969
           1340	    968
           1341	    966
           1342	    966
           1343	    968
           1344	    968
           1345	    970
           1346	    968
           1347	    965
           1348	    966
           1349	    970
           1350	    967
           1351	    967
           1352	    966
           1353	    964
           1354	    967
           1355	    966
           1356	    965
           1357	    963
           1358	    963
           1359	    961
           1360	    964
           1361	    964
           1362	    964
           1363	    962
           1364	    961
           1365	    957
           1366	    960
           1367	    962
           1368	    961
           1369	    959
           1370	    959
           1371	    956
           1372	    957
           1373	    957
           1374	    958
           1375	    956
           1376	    955
           1377	    954
           1378	    955
           1379	    957
           1380	    957
           1381	    955
           1382	    949
           1383	    950
           1384	    952
           1385	    955
           1386	    954
           1387	    953
           1388	    951
           1389	    948
           1390	    950
           1391	    951
           1392	    952
           1393	    950
           1394	    950
           1395	    949
           1396	    950
           1397	    950
           1398	    951
           1399	    950
           1400	    948
           1401	    948
           1402	    949
           1403	    951
           1404	    952
           1405	    951
           1406	    953
           1407	    953
           1408	    953
           1409	    957
           1410	    962
           1411	    962
           1412	    964
           1413	    965
           1414	    965
           1415	    968
           1416	    969
           1417	    970
           1418	    970
           1419	    971
           1420	    972
           1421	    973
           1422	    973
           1423	    975
           1424	    976
           1425	    973
           1426	    975
           1427	    974
           1428	    972
           1429	    969
           1430	    966
           1431	    962
           1432	    960
           1433	    963
           1434	    966
           1435	    967
           1436	    966
           1437	    963
           1438	    962
           1439	    959
           1440	    957
           1441	    957
           1442	    952
           1443	    948
           1444	    947
           1445	    948
           1446	    946
           1447	    943
           1448	    940
           1449	    938
           1450	    939
           1451	    940
           1452	    938
           1453	    939
           1454	    936
           1455	    937
           1456	    939
           1457	    938
           1458	    939
           1459	    939
           1460	    938
           1461	    936
           1462	    935
           1463	    940
           1464	    941
           1465	    939
           1466	    939
           1467	    935
           1468	    934
           1469	    928
           1470	    918
           1471	    908
           1472	    906
           1473	    911
           1474	    928
           1475	    952
           1476	    994
           1477	   1060
           1478	   1142
           1479	   1221
           1480	   1298
           1481	   1357
           1482	   1388
           1483	   1389
           1484	   1355
           1485	   1267
           1486	   1152
           1487	   1042
           1488	    968
           1489	    928
           1490	    918
           1491	    923
           1492	    939
           1493	    955
           1494	    965
           1495	    961
           1496	    950
           1497	    944
           1498	    946
           1499	    947
           1500	    947
           1501	    942
           1502	    938
           1503	    935
           1504	    935
           1505	    937
           1506	    937
           1507	    933
           1508	    931
           1509	    930
           1510	    931
           1511	    933
           1512	    933
           1513	    933
           1514	    931
           1515	    928
           1516	    929
           1517	    931
           1518	    931
           1519	    931
           1520	    932
           1521	    929
           1522	    930
           1523	    931
           1524	    934
           1525	    934
           1526	    932
           1527	    930
           1528	    933
           1529	    935
           1530	    936
           1531	    937
           1532	    937
           1533	    936
           1534	    935
           1535	    938
           1536	    942
           1537	    942
           1538	    942
           1539	    943
           1540	    944
           1541	    948
           1542	    951
           1543	    952
           1544	    953
           1545	    955
           1546	    958
           1547	    963
           1548	    964
           1549	    967
           1550	    970
           1551	    972
           1552	    978
           1553	    980
           1554	    984
           1555	    987
           1556	    992
           1557	    994
           1558	   1000
           1559	   1005
           1560	   1009
           1561	   1014
           1562	   1017
           1563	   1017
           1564	   1023
           1565	   1029
           1566	   1031
           1567	   1034
           1568	   1033
           1569	   1036
           1570	   1038
           1571	   1042
           1572	   1045
           1573	   1047
           1574	   1048
           1575	   1046
           1576	   1048
           1577	   1048
           1578	   1050
           1579	   1050
           1580	   1045
           1581	   1041
           1582	   1042
           1583	   1040
           1584	   1036
           1585	   1031
           1586	   1023
           1587	   1019
           1588	   1019
           1589	   1015
           1590	   1011
           1591	   1003
           1592	    995
           1593	    991
           1594	    988
           1595	    985
           1596	    980
           1597	    976
           1598	    974
           1599	    970
           1600	    968
           1601	    968
           1602	    969
           1603	    967
           1604	    963
           1605	    960
           1606	    960
           1607	    962
           1608	    961
           1609	    962
           1610	    959
           1611	    954
           1612	    954
           1613	    958
           1614	    959
           1615	    959
           1616	    956
           1617	    955
           1618	    958
           1619	    958
           1620	    958
           1621	    960
           1622	    956
           1623	    956
           1624	    959
           1625	    963
           1626	    961
           1627	    963
           1628	    962
           1629	    961
           1630	    963
           1631	    964
           1632	    965
           1633	    964
           1634	    964
           1635	    962
           1636	    964
           1637	    966
           1638	    969
           1639	    967
           1640	    965
           1641	    964
           1642	    965
           1643	    970
           1644	    969
           1645	    969
           1646	    965
           1647	    965
           1648	    966
           1649	    969
           1650	    967
           1651	    970
           1652	    966
           1653	    966
           1654	    967
           1655	    969
           1656	    970
           1657	    967
           1658	    966
           1659	    963
           1660	    965
           1661	    965
           1662	    966
           1663	    966
           1664	    963
           1665	    962
           1666	    962
           1667	    964
           1668	    961
           1669	    962
           1670	    960
           1671	    958
           1672	    960
           1673	    958
           1674	    962
           1675	    959
           1676	    957
           1677	    955
           1678	    957
           1679	    956
           1680	    958
           1681	    956
           1682	    954
           1683	    953
           1684	    953
           1685	    957
           1686	    957
           1687	    955
           1688	    954
           1689	    951
           1690	    951
           1691	    951
           1692	    955
           1693	    952
           1694	    952
           1695	    951
           1696	    950
           1697	    951
           1698	    954
           1699	    954
           1700	    950
           1701	    950
           1702	    952
           1703	    955
           1704	    954
           1705	    952
           1706	    950
           1707	    949
           1708	    952
           1709	    952
           1710	    954
           1711	    955
           1712	    953
           1713	    954
           1714	    958
           1715	    961
           1716	    966
           1717	    966
           1718	    965
           1719	    965
           1720	    966
           1721	    970
           1722	    972
           1723	    973
           1724	    971
           1725	    970
           1726	    973
           1727	    975
           1728	    975
           1729	    974
           1730	    975
           1731	    974
           1732	    976
           1733	    976
           1734	    974
           1735	    970
           1736	    969
           1737	    965
           1738	    962
           1739	    964
           1740	    968
           1741	    968
           1742	    968
           1743	    968
           1744	    966
           1745	    964
           1746	    962
           1747	    959
           1748	    954
           1749	    954
           1750	    951
           1751	    951
           1752	    950
           1753	    948
           1754	    948
           1755	    944
           1756	    943
           1757	    941
           1758	    941
           1759	    940
           1760	    939
           1761	    935
           1762	    936
           1763	    940
           1764	    939
           1765	    939
           1766	    938
           1767	    938
           1768	    940
           1769	    942
           1770	    941
           1771	    937
           1772	    941
           1773	    940
           1774	    941
           1775	    941
           1776	    942
           1777	    942
           1778	    940
           1779	    934
           1780	    930
           1781	    918
           1782	    908
           1783	    905
           1784	    912
           1785	    921
           1786	    938
           1787	    967
           1788	   1013
           1789	   1078
           1790	   1144
           1791	   1211
           1792	   1277
           1793	   1339
           1794	   1381
           1795	   1399
           1796	   1384
           1797	   1335
           1798	   1242
           1799	   1134
           1800	   1040
           1801	    970
           1802	    936
           1803	    922
           1804	    922
           1805	    927
           1806	    942
           1807	    955
           1808	    962
           1809	    959
           1810	    955
           1811	    953
           1812	    949
           1813	    949
           1814	    945
           1815	    942
           1816	    945
           1817	    944
           1818	    940
           1819	    937
           1820	    935
           1821	    933
           1822	    932
           1823	    935
           1824	    932
           1825	    934
           1826	    931
           1827	    930
           1828	    932
           1829	    936
           1830	    934
           1831	    932
           1832	    932
           1833	    927
           1834	    931
           1835	    931
           1836	    933
           1837	    932
           1838	    930
           1839	    930
           1840	    933
           1841	    932
           1842	    933
           1843	    935
           1844	    934
           1845	    931
           1846	    935
           1847	    937
           1848	    940
           1849	    938
           1850	    938
           1851	    935
           1852	    937
           1853	    941
           1854	    942
           1855	    942
           1856	    941
           1857	    943
           1858	    942
           1859	    946
           1860	    948
           1861	    951
           1862	    951
           1863	    952
           1864	    952
           1865	    959
           1866	    961
           1867	    965
           1868	    966
           1869	    966
           1870	    969
           1871	    974
           1872	    979
           1873	    983
