       sample #	     V5
           1013	   1015
           1014	   1012
           1015	   1012
           1016	   1010
           1017	   1014
           1018	   1017
           1019	   1017
           1020	   1016
           1021	   1013
           1022	   1017
           1023	   1018
           1024	   1021
           1025	   1023
           1026	   1023
           1027	   1023
           1028	   1025
           1029	   1027
           1030	   1029
           1031	   1032
           1032	   1029
           1033	   1029
           1034	   1032
           1035	   1034
           1036	   1037
           1037	   1038
           1038	   1038
           1039	   1037
           1040	   1038
           1041	   1041
           1042	   1044
           1043	   1046
           1044	   1044
           1045	   1040
           1046	   1041
           1047	   1039
           1048	   1036
           1049	   1031
           1050	   1027
           1051	   1024
           1052	   1022
           1053	   1023
           1054	   1020
           1055	   1018
           1056	   1014
           1057	   1008
           1058	   1007
           1059	   1008
           1060	   1011
           1061	   1008
           1062	   1005
           1063	   1003
           1064	   1001
           1065	   1002
           1066	   1002
           1067	   1000
           1068	    999
           1069	    995
           1070	    996
           1071	    997
           1072	    997
           1073	    996
           1074	    993
           1075	    990
           1076	    991
           1077	    994
           1078	    994
           1079	    990
           1080	    989
           1081	    989
           1082	    989
           1083	    990
           1084	    990
           1085	    991
           1086	    991
           1087	    986
           1088	    986
           1089	    986
           1090	    989
           1091	    989
           1092	    986
           1093	    984
           1094	    986
           1095	    986
           1096	    985
           1097	    985
           1098	    983
           1099	    982
           1100	    985
           1101	    984
           1102	    988
           1103	    987
           1104	    986
           1105	    984
           1106	    984
           1107	    984
           1108	    987
           1109	    982
           1110	    982
           1111	    981
           1112	    982
           1113	    982
           1114	    982
           1115	    981
           1116	    982
           1117	    976
           1118	    978
           1119	    981
           1120	    981
           1121	    980
           1122	    978
           1123	    976
           1124	    976
           1125	    976
           1126	    979
           1127	    979
           1128	    976
           1129	    975
           1130	    975
           1131	    975
           1132	    976
           1133	    976
           1134	    973
           1135	    973
           1136	    973
           1137	    974
           1138	    976
           1139	    976
           1140	    974
           1141	    973
           1142	    972
           1143	    975
           1144	    975
           1145	    973
           1146	    971
           1147	    971
           1148	    971
           1149	    972
           1150	    973
           1151	    974
           1152	    972
           1153	    967
           1154	    970
           1155	    971
           1156	    970
           1157	    972
           1158	    970
           1159	    969
           1160	    969
           1161	    972
           1162	    972
           1163	    971
           1164	    970
           1165	    969
           1166	    970
           1167	    969
           1168	    972
           1169	    972
           1170	    969
           1171	    968
           1172	    968
           1173	    971
           1174	    973
           1175	    974
           1176	    972
           1177	    972
           1178	    973
           1179	    976
           1180	    981
           1181	    985
           1182	    994
           1183	   1016
           1184	   1086
           1185	   1182
           1186	   1200
           1187	   1120
           1188	   1043
           1189	   1019
           1190	   1025
           1191	   1029
           1192	   1029
           1193	   1024
           1194	   1017
           1195	   1014
           1196	   1015
           1197	   1015
           1198	   1016
           1199	   1014
           1200	   1007
           1201	   1005
           1202	   1002
           1203	   1000
           1204	    998
           1205	    992
           1206	    981
           1207	    970
           1208	    961
           1209	    955
           1210	    944
           1211	    929
           1212	    910
           1213	    892
           1214	    880
           1215	    871
           1216	    860
           1217	    847
           1218	    835
           1219	    829
           1220	    827
           1221	    823
           1222	    826
           1223	    824
           1224	    823
           1225	    821
           1226	    823
           1227	    826
           1228	    832
           1229	    838
           1230	    845
           1231	    856
           1232	    869
           1233	    883
           1234	    894
           1235	    906
           1236	    914
           1237	    922
           1238	    929
           1239	    938
           1240	    945
           1241	    949
           1242	    950
           1243	    949
           1244	    951
           1245	    955
           1246	    960
           1247	    964
           1248	    965
           1249	    964
           1250	    963
           1251	    965
           1252	    968
           1253	    969
           1254	    968
           1255	    968
           1256	    969
           1257	    975
           1258	    981
           1259	    983
           1260	    982
           1261	    979
           1262	    982
           1263	    986
           1264	    991
           1265	    992
           1266	    991
           1267	    990
           1268	    993
           1269	    992
           1270	    995
           1271	    995
           1272	    992
           1273	    993
           1274	    995
           1275	    999
           1276	    999
           1277	   1000
           1278	   1000
           1279	    998
           1280	   1001
           1281	   1003
           1282	   1003
           1283	   1004
           1284	   1003
           1285	   1002
           1286	   1002
           1287	   1007
           1288	   1009
           1289	   1006
           1290	   1010
           1291	   1006
           1292	   1010
           1293	   1011
           1294	   1014
           1295	   1012
           1296	   1013
           1297	   1013
           1298	   1014
           1299	   1018
           1300	   1018
           1301	   1021
           1302	   1022
           1303	   1020
           1304	   1021
           1305	   1023
           1306	   1025
           1307	   1025
           1308	   1025
           1309	   1025
           1310	   1026
           1311	   1029
           1312	   1033
           1313	   1032
           1314	   1031
           1315	   1033
           1316	   1031
           1317	   1034
           1318	   1033
           1319	   1036
           1320	   1035
           1321	   1030
           1322	   1032
           1323	   1033
           1324	   1036
           1325	   1035
           1326	   1030
           1327	   1029
           1328	   1029
           1329	   1030
           1330	   1029
           1331	   1025
           1332	   1024
           1333	   1020
           1334	   1021
           1335	   1022
           1336	   1020
           1337	   1019
           1338	   1014
           1339	   1013
           1340	   1012
           1341	   1011
           1342	   1010
           1343	   1009
           1344	   1007
           1345	   1002
           1346	   1002
           1347	   1003
           1348	   1003
           1349	   1000
           1350	    997
           1351	    995
           1352	    995
           1353	    995
           1354	    998
           1355	    994
           1356	    994
           1357	    992
           1358	    990
           1359	    992
           1360	    994
           1361	    991
           1362	    991
           1363	    987
           1364	    986
           1365	    988
           1366	    987
           1367	    987
           1368	    985
           1369	    982
           1370	    981
           1371	    984
           1372	    983
           1373	    985
           1374	    982
           1375	    981
           1376	    982
           1377	    984
           1378	    986
           1379	    988
           1380	    989
           1381	    987
           1382	    984
           1383	    985
           1384	    988
           1385	    987
           1386	    987
           1387	    985
           1388	    987
           1389	    989
           1390	    991
           1391	    995
           1392	    993
           1393	    992
           1394	    994
           1395	    993
           1396	    993
           1397	    993
           1398	    986
           1399	    982
           1400	    981
           1401	    981
           1402	    982
           1403	    981
           1404	    977
           1405	    974
           1406	    973
           1407	    975
           1408	    973
           1409	    974
           1410	    972
           1411	    968
           1412	    970
           1413	    969
           1414	    970
           1415	    970
           1416	    968
           1417	    963
           1418	    967
           1419	    966
           1420	    971
           1421	    968
           1422	    965
           1423	    963
           1424	    964
           1425	    968
           1426	    966
           1427	    968
           1428	    966
           1429	    964
           1430	    965
           1431	    966
           1432	    968
           1433	    967
           1434	    965
           1435	    965
           1436	    966
           1437	    966
           1438	    968
           1439	    969
           1440	    966
           1441	    967
           1442	    966
           1443	    969
           1444	    967
           1445	    967
           1446	    967
           1447	    965
           1448	    965
           1449	    967
           1450	    970
           1451	    971
           1452	    969
           1453	    968
           1454	    967
           1455	    971
           1456	    974
           1457	    974
           1458	    977
           1459	    975
           1460	    980
           1461	    988
           1462	   1002
           1463	   1043
           1464	   1135
           1465	   1215
           1466	   1198
           1467	   1129
           1468	   1097
           1469	   1110
           1470	   1130
           1471	   1148
           1472	   1168
           1473	   1199
           1474	   1236
           1475	   1272
           1476	   1299
           1477	   1309
           1478	   1301
           1479	   1266
           1480	   1219
           1481	   1166
           1482	   1120
           1483	   1077
           1484	   1034
           1485	    995
           1486	    963
           1487	    945
           1488	    937
           1489	    934
           1490	    933
           1491	    936
           1492	    937
           1493	    940
           1494	    939
           1495	    937
           1496	    940
           1497	    940
           1498	    943
           1499	    942
           1500	    938
           1501	    938
           1502	    938
           1503	    939
           1504	    939
           1505	    938
           1506	    934
           1507	    931
           1508	    932
           1509	    934
           1510	    936
           1511	    935
           1512	    933
           1513	    928
           1514	    931
           1515	    932
           1516	    932
           1517	    932
           1518	    928
           1519	    924
           1520	    924
           1521	    926
           1522	    923
           1523	    925
           1524	    924
           1525	    919
           1526	    923
           1527	    922
           1528	    922
           1529	    918
           1530	    917
           1531	    914
           1532	    915
           1533	    917
           1534	    915
           1535	    916
           1536	    914
           1537	    910
           1538	    911
           1539	    914
           1540	    915
           1541	    913
           1542	    908
           1543	    908
           1544	    906
           1545	    909
           1546	    909
           1547	    910
           1548	    907
           1549	    904
           1550	    908
           1551	    907
           1552	    908
           1553	    906
           1554	    906
           1555	    904
           1556	    907
           1557	    910
           1558	    911
           1559	    911
           1560	    910
           1561	    907
           1562	    911
           1563	    912
           1564	    915
           1565	    916
           1566	    913
           1567	    915
           1568	    917
           1569	    922
           1570	    925
           1571	    925
           1572	    926
           1573	    926
           1574	    931
           1575	    933
           1576	    936
           1577	    935
           1578	    937
           1579	    939
           1580	    945
           1581	    946
           1582	    949
           1583	    952
           1584	    955
           1585	    955
           1586	    958
           1587	    962
           1588	    964
           1589	    966
           1590	    965
           1591	    964
           1592	    968
           1593	    970
           1594	    971
           1595	    971
           1596	    971
           1597	    972
           1598	    971
           1599	    972
           1600	    973
           1601	    973
           1602	    974
           1603	    972
           1604	    973
           1605	    972
           1606	    974
           1607	    973
           1608	    973
           1609	    971
           1610	    973
           1611	    975
           1612	    974
           1613	    973
           1614	    970
           1615	    970
           1616	    970
           1617	    971
           1618	    972
           1619	    972
           1620	    969
           1621	    967
           1622	    965
           1623	    967
           1624	    971
           1625	    970
           1626	    969
           1627	    964
           1628	    968
           1629	    968
           1630	    969
           1631	    967
           1632	    964
           1633	    964
           1634	    963
           1635	    963
           1636	    965
           1637	    967
           1638	    963
           1639	    962
           1640	    962
           1641	    963
           1642	    965
           1643	    965
           1644	    962
           1645	    960
           1646	    961
           1647	    963
           1648	    964
           1649	    964
           1650	    963
           1651	    960
           1652	    962
           1653	    962
           1654	    966
           1655	    967
           1656	    963
           1657	    963
           1658	    962
           1659	    964
           1660	    965
           1661	    966
           1662	    963
           1663	    963
           1664	    964
           1665	    967
           1666	    966
           1667	    966
           1668	    965
           1669	    962
           1670	    964
           1671	    964
           1672	    968
           1673	    970
           1674	    966
           1675	    966
           1676	    965
           1677	    967
           1678	    970
           1679	    966
           1680	    964
           1681	    966
           1682	    966
           1683	    968
           1684	    969
           1685	    969
           1686	    968
           1687	    966
           1688	    967
           1689	    969
           1690	    970
           1691	    969
           1692	    967
           1693	    965
           1694	    966
           1695	    965
           1696	    966
           1697	    968
           1698	    966
           1699	    962
           1700	    964
           1701	    966
           1702	    968
           1703	    968
           1704	    966
           1705	    965
           1706	    968
           1707	    971
           1708	    972
           1709	    973
           1710	    974
           1711	    970
           1712	    971
           1713	    974
           1714	    974
           1715	    975
           1716	    975
           1717	    973
           1718	    974
           1719	    979
           1720	    982
           1721	    984
           1722	    983
           1723	    980
           1724	    982
           1725	    984
           1726	    984
           1727	    981
           1728	    975
           1729	    975
           1730	    974
           1731	    974
           1732	    975
           1733	    978
           1734	    974
           1735	    972
           1736	    971
           1737	    970
           1738	    974
           1739	    974
           1740	    975
           1741	    975
           1742	    980
           1743	    986
           1744	    995
           1745	   1014
           1746	   1058
           1747	   1138
           1748	   1206
           1749	   1178
           1750	   1097
           1751	   1043
           1752	   1029
           1753	   1033
           1754	   1033
           1755	   1028
           1756	   1027
           1757	   1024
           1758	   1022
           1759	   1016
           1760	   1018
           1761	   1022
           1762	   1023
           1763	   1019
           1764	   1018
           1765	   1014
           1766	   1013
           1767	   1011
           1768	   1012
           1769	   1009
           1770	   1006
           1771	    998
           1772	    995
           1773	    989
           1774	    980
           1775	    972
           1776	    965
           1777	    952
           1778	    938
           1779	    922
           1780	    911
           1781	    904
           1782	    901
           1783	    893
           1784	    889
           1785	    882
           1786	    880
           1787	    877
           1788	    877
           1789	    874
           1790	    882
           1791	    892
           1792	    905
           1793	    917
           1794	    933
           1795	    941
           1796	    954
           1797	    960
           1798	    963
           1799	    957
           1800	    952
           1801	    943
           1802	    937
           1803	    934
           1804	    932
           1805	    927
           1806	    926
           1807	    925
           1808	    930
           1809	    940
           1810	    945
           1811	    952
           1812	    956
           1813	    957
           1814	    962
           1815	    961
           1816	    964
           1817	    966
           1818	    966
           1819	    965
           1820	    971
           1821	    971
           1822	    976
           1823	    980
           1824	    980
           1825	    980
           1826	    979
           1827	    983
           1828	    983
           1829	    984
           1830	    985
           1831	    984
           1832	    985
           1833	    987
           1834	    988
           1835	    989
           1836	    988
           1837	    987
           1838	    989
           1839	    991
           1840	    991
           1841	    991
           1842	    989
           1843	    988
           1844	    989
           1845	    992
           1846	    993
           1847	    992
           1848	    994
           1849	    991
           1850	    995
           1851	    998
           1852	   1000
           1853	    999
           1854	    997
           1855	    995
           1856	    997
           1857	   1000
           1858	   1004
           1859	   1002
           1860	   1002
           1861	   1001
           1862	   1003
           1863	   1006
           1864	   1008
           1865	   1006
           1866	   1005
           1867	   1004
           1868	   1006
           1869	   1007
           1870	   1008
           1871	   1009
           1872	   1008
           1873	   1009
